taxa	log2fold_1hr
Phvul.001G066500.1	0.23
Phvul.001G066600.1	0.01
Phvul.001G066700.1	-0.59
Phvul.001G066800.1	-0.21
Phvul.001G066900.1	NA
Phvul.001G067000.1	0.03
Phvul.001G067100.1	-0.19
Phvul.001G067200.1	-0.34
Phvul.001G067300.1	NA
Phvul.001G067400.1	0.91
Phvul.001G067500.1	0.03
Phvul.001G067600.1	0.1
Phvul.001G067700.1	-0.27
Phvul.001G067800.1	NA
Phvul.001G067900.1	NA
Phvul.001G068000.1	-0.16
Phvul.001G068000.1	-0.48
Phvul.001G068100.1	0.34
Phvul.001G068200.1	0.4
Phvul.001G068300.1	0.41
Phvul.001G068400.1	0.95
Phvul.001G068500.1	0.91
Phvul.001G068600.1	0.49
Phvul.001G068700.1	-0.11
Phvul.001G068800.1	1.31
Phvul.001G068900.1	-0.12
Phvul.001G069000.1	1.85
Phvul.001G069100.1	NA
Phvul.001G069200.1	NA
Phvul.001G069300.1	2.13
Phvul.001G069400.1	0.52
Phvul.001G069500.1	0.81
Phvul.001G069600.1	1.58
Phvul.001G069700.1	0.22
Phvul.001G069800.1	-0.01
Phvul.001G069900.1	-0.21
Phvul.001G070000.1	1.03
Phvul.001G070100.1	0.02
Phvul.001G070200.1	0.38
Phvul.001G070300.1	0.72
Phvul.001G070400.1	NA
Phvul.001G070500.1	0.11
Phvul.001G070600.1	0.02
Phvul.001G070700.1	0
Phvul.001G070800.1	-0.02
Phvul.001G070900.1	0.04
Phvul.001G071000.1	0
Phvul.001G071100.1	4.37
Phvul.001G071200.1	6.82
Phvul.001G071300.1	2.65
Phvul.001G071400.1	0.22
Phvul.001G071500.1	2.26
Phvul.001G071600.1	-0.99
Phvul.001G071700.1	NA
Phvul.001G071800.1	NA
Phvul.001G071900.1	-0.1
Phvul.001G072000.1	0.01
Phvul.001G072100.1	-0.86
Phvul.001G072200.1	0.16
Phvul.001G072300.1	-0.28
Phvul.001G072400.1	-0.01
Phvul.001G072500.1	0
Phvul.001G072600.1	0.1
Phvul.001G072700.1	-0.31
Phvul.001G072700.1	NA
Phvul.001G072800.1	0
Phvul.001G072900.1	-0.16
Phvul.001G073000.1	0.14
Phvul.001G073100.1	-0.22
Phvul.001G073200.1	0.05
Phvul.001G073200.1	-0.01
Phvul.001G073300.1	-0.54
Phvul.001G073400.1	-0.27
Phvul.001G073500.1	NA
Phvul.001G073600.1	-0.04
Phvul.001G073700.1	0.85
Phvul.001G073800.1	-1.14
Phvul.001G073900.1	NA
Phvul.001G074000.1	-0.05
Phvul.001G074100.1	-0.45
Phvul.001G074200.1	0.91
Phvul.001G074300.1	-0.38
Phvul.001G074400.1	0
Phvul.001G074500.1	0
Phvul.001G074600.1	0.31
Phvul.001G074700.1	-0.16
Phvul.001G074800.1	0.04
Phvul.001G074900.1	-0.03
Phvul.001G075000.1	1.12
Phvul.001G075100.1	1.19
Phvul.001G075200.1	0.02
Phvul.001G075300.1	-0.02
Phvul.001G075400.1	0.55
Phvul.001G075500.1	1.42
Phvul.001G075600.1	1.65
Phvul.001G075700.1	-0.77
Phvul.001G075800.1	-0.22
Phvul.001G075900.1	NA
Phvul.001G076000.1	NA
Phvul.001G076100.1	2.57
Phvul.001G076200.1	0.96
Phvul.001G076300.1	0.53
Phvul.001G076400.1	0.4
Phvul.001G076500.1	0.11
Phvul.001G076600.1	0.1
Phvul.001G076700.1	5.42
Phvul.001G076800.1	0.57
Phvul.001G076900.1	-0.18
Phvul.001G077000.1	-0.24
Phvul.001G077100.1	0.66
Phvul.001G077200.1	-0.33
Phvul.001G077200.1	-0.21
Phvul.001G077300.1	0
Phvul.001G077400.1	-0.22
Phvul.001G077500.1	NA
Phvul.001G077600.1	-0.77
Phvul.001G077700.1	0.01
Phvul.001G077800.1	-0.36
Phvul.001G077800.1	-0.57
Phvul.001G077900.1	-0.23
Phvul.001G078000.1	-0.25
Phvul.001G078100.1	-0.24
Phvul.001G078200.1	NA
Phvul.001G078300.1	0.27
Phvul.001G078400.1	0.71
Phvul.001G078500.1	0.65
Phvul.001G078600.1	-0.11
Phvul.001G078700.1	0.13
Phvul.001G078800.1	-0.04
Phvul.001G078900.1	-0.59
Phvul.001G079000.1	NA
Phvul.001G079100.1	-0.03
Phvul.001G079200.1	0.2
Phvul.001G079300.1	-1.4
Phvul.001G079400.1	-0.47
Phvul.001G079500.1	0
Phvul.001G079600.1	NA
Phvul.001G079700.1	-0.6
Phvul.001G079800.1	0.24
Phvul.001G079900.1	0.21
Phvul.001G080000.1	-0.02
Phvul.001G080100.1	0.3
Phvul.001G080200.1	0.34
Phvul.001G080300.1	0.53
Phvul.001G080300.1	0.54
Phvul.001G080400.1	0.21
Phvul.001G080500.1	-0.27
Phvul.001G080600.1	0.17
Phvul.001G080700.1	0.14
Phvul.001G080800.1	-0.85
Phvul.001G080900.1	-0.13
Phvul.001G081000.1	NA
Phvul.001G081100.1	NA
Phvul.001G081200.1	0.17
Phvul.001G081300.1	0.37
Phvul.001G081400.1	0.85
Phvul.001G081500.1	0.05
Phvul.001G081600.1	0.38
Phvul.001G081700.1	-0.14
Phvul.001G081800.1	-0.06
Phvul.001G081900.1	NA
Phvul.001G082000.1	-0.04
Phvul.001G082100.1	0.02
Phvul.001G082200.1	-0.02
Phvul.001G082300.1	0.09
Phvul.001G082400.1	0.46
Phvul.001G082500.1	0.72
Phvul.001G082500.1	0.5
Phvul.001G082600.1	0.33
Phvul.001G082700.1	-0.15
Phvul.001G082800.1	-0.05
Phvul.001G082900.1	-0.52
