taxa	log2fold_1hr
Vigun03g353200	0
Vigun03g353400	0
Vigun03g356300	0
Vigun03g358900	0
Vigun03g359000	0
Vigun03g372000	0
Vigun03g374900	0
Vigun03g375500	0
Vigun03g377400	0
Vigun03g378700	0
Vigun03g378800	0
Vigun03g380300	0
Vigun03g381500	0
Vigun03g385700	0
Vigun03g386100	0
Vigun03g390600	0
Vigun03g390700	0
Vigun03g393400	0
Vigun03g399800	0
Vigun03g400400	0
Vigun03g401000	0
Vigun03g401400	0
Vigun03g403800	0
Vigun03g403900	0
Vigun03g404000	0
Vigun03g404900	0
Vigun03g406300	0
Vigun03g406400	0
Vigun03g412900	0
Vigun03g413000	0
Vigun03g413300	0
Vigun03g414100	0
Vigun03g414400	0
Vigun03g418100	0
Vigun03g418900	0
Vigun03g420100	0
Vigun03g422900	0
Vigun03g424100	0
Vigun03g424900	0
Vigun03g425500	0
Vigun03g429300	0
Vigun03g430500	0
Vigun03g432000	0
Vigun03g434200	0
Vigun03g435300	0
Vigun03g436500	0
Vigun03g436600	0
Vigun03g439300	0
Vigun03g439400	0
Vigun03g443300	0
Vigun03g443600	0
Vigun03g444200	0
Vigun03g444300	0
Vigun03g444400	0
Vigun03g446200	0
Vigun03g447400	0
Vigun03g447500	0
Vigun03g450900	0
Vigun04g001000	0
Vigun04g001100	0
Vigun04g002100	0
Vigun04g004500	0
Vigun04g005400	0
Vigun04g009400	0
Vigun04g009500	0
Vigun04g010200	0
Vigun04g010300	0
Vigun04g010400	0
Vigun04g014100	0
Vigun04g016400	0
Vigun04g018500	0
Vigun04g018600	0
Vigun04g018700	0
Vigun04g019700	0
Vigun04g019800	0
Vigun04g022300	0
Vigun04g022800	0
Vigun04g024800	0
Vigun04g027300	0
Vigun04g027900	0
Vigun04g028400	0
Vigun04g028500	0
Vigun04g029200	0
Vigun04g033500	0
Vigun04g034500	0
Vigun04g037100	0
Vigun04g037300	0
Vigun04g037400	0
Vigun04g037500	0
Vigun04g038000	0
Vigun04g042700	0
Vigun04g043200	0
Vigun04g044100	0
Vigun04g045800	0
Vigun04g046000	0
Vigun04g046100	0
Vigun04g046500	0
Vigun04g046800	0
Vigun04g047400	0
Vigun04g048400	0
Vigun04g048600	0
Vigun04g049800	0
Vigun04g049900	0
Vigun04g050700	0
Vigun04g050800	0
Vigun04g050900	0
Vigun04g051000	0
Vigun04g053300	0
Vigun04g054500	0
Vigun04g054700	0
Vigun04g054800	0
Vigun04g055800	0
Vigun04g062600	0
Vigun04g063700	0
Vigun04g063900	0
Vigun04g064000	0
Vigun04g064100	0
Vigun04g064300	0
Vigun04g064500	0
Vigun04g064700	0
Vigun04g064800	0
Vigun04g065100	0
Vigun04g065200	0
Vigun04g065700	0
Vigun04g067700	0
Vigun04g068000	0
Vigun04g068100	0
Vigun04g068700	0
Vigun04g068800	0
Vigun04g068900	0
Vigun04g069500	0
Vigun04g069900	0
Vigun04g070100	0
Vigun04g070400	0
Vigun04g070600	0
Vigun04g070900	0
Vigun04g071000	0
Vigun04g071100	0
Vigun04g071200	0
Vigun04g071300	0
Vigun04g071700	0
Vigun04g071800	0
Vigun04g071900	0
Vigun04g072000	0
Vigun04g072200	0
Vigun04g072600	0
Vigun04g072700	0
Vigun04g073700	0
Vigun04g074300	0
Vigun04g074400	0
Vigun04g074800	0
Vigun04g074900	0
Vigun04g075500	0
Vigun04g075800	0
Vigun04g075900	0
Vigun04g076100	0
Vigun04g076400	0
Vigun04g076600	0
Vigun04g076700	0
Vigun04g076800	0
Vigun04g076900	0
Vigun04g077200	0
Vigun04g077400	0
Vigun04g077500	0
Vigun04g077600	0
Vigun04g078200	0
Vigun04g078900	0
Vigun04g079200	0
Vigun04g079700	0
Vigun04g080900	0
Vigun04g081000	0
Vigun04g081400	0
Vigun04g082700	0
Vigun04g083100	0
Vigun04g083500	0
Vigun04g084400	0
Vigun04g084500	0
Vigun04g084700	0
Vigun04g084800	0
Vigun04g084900	0
Vigun04g085000	0
Vigun04g085200	0
Vigun04g085400	0
Vigun04g085500	0
Vigun04g085700	0
Vigun04g086100	0
Vigun04g086200	0
Vigun04g086300	0
Vigun04g086400	0
Vigun04g087100	0
Vigun04g087200	0
Vigun04g087900	0
Vigun04g088200	0
Vigun04g090300	0
Vigun04g090400	0
Vigun04g090500	0
Vigun04g091400	0
Vigun04g091500	0
Vigun04g091600	0
Vigun04g093100	0
Vigun04g093200	0
Vigun04g093300	0
Vigun04g093400	0
Vigun04g093600	0
Vigun04g094300	0
Vigun04g095500	0
Vigun04g096200	0
Vigun04g096700	0
Vigun04g096800	0
Vigun04g097600	0
Vigun04g097800	0
Vigun04g098600	0
Vigun04g098900	0
Vigun04g099100	0
Vigun04g099400	0
Vigun04g099700	0
Vigun04g099900	0
Vigun04g100100	0
Vigun04g101100	0
Vigun04g102600	0
Vigun04g102900	0
Vigun04g103100	0
Vigun04g103200	0
Vigun04g104000	0
Vigun04g105100	0
Vigun04g106100	0
Vigun04g106300	0
Vigun04g106600	0
Vigun04g107200	0
Vigun04g107300	0
Vigun04g107500	0
Vigun04g107700	0
Vigun04g107900	0
Vigun04g108400	0
Vigun04g110500	0
Vigun04g112200	0
Vigun04g113000	0
Vigun04g114000	0
Vigun04g114400	0
Vigun04g114500	0
Vigun04g115000	0
Vigun04g115400	0
Vigun04g116200	0
Vigun04g116300	0
Vigun04g116400	0
Vigun04g116500	0
Vigun04g117700	0
Vigun04g117800	0
Vigun04g117900	0
Vigun04g118000	0
Vigun04g118100	0
Vigun04g118200	0
Vigun04g119100	0
Vigun04g119700	0
Vigun04g120000	0
Vigun04g120200	0
Vigun04g120500	0
Vigun04g120800	0
Vigun04g121400	0
Vigun04g122300	0
Vigun04g122700	0
Vigun04g123200	0
Vigun04g123400	0
Vigun04g123500	0
Vigun04g123600	0
Vigun04g123700	0
Vigun04g124000	0
Vigun04g124500	0
Vigun04g124600	0
Vigun04g124800	0
Vigun04g124900	0
Vigun04g125000	0
Vigun04g125100	0
Vigun04g125200	0
Vigun04g125400	0
Vigun04g126000	0
Vigun04g127500	0
Vigun04g127700	0
Vigun04g127800	0
Vigun04g128300	0
Vigun04g129400	0
Vigun04g129800	0
Vigun04g130000	0
Vigun04g130200	0
Vigun04g131600	0
Vigun04g131700	0
Vigun04g132400	0
Vigun04g132500	0
Vigun04g132600	0
Vigun04g132700	0
Vigun04g133000	0
Vigun04g133100	0
Vigun04g133300	0
Vigun04g133400	0
Vigun04g134200	0
Vigun04g134500	0
Vigun04g135000	0
Vigun04g135500	0
Vigun04g136600	0
Vigun04g136800	0
Vigun04g137300	0
Vigun04g137400	0
Vigun04g137700	0
Vigun04g137900	0
Vigun04g138100	0
Vigun04g138900	0
Vigun04g140800	0
Vigun04g140900	0
Vigun04g141400	0
Vigun04g141500	0
Vigun04g141600	0
