taxa	nodule	root	21d_leaf
MtrunA17_Chr0c32g0494172	-6.64	-6.64	-6.64
MtrunA17_Chr0c32g0494181	3.51	-6.64	-6.64
MtrunA17_Chr0c32g0494191	9.94	-6.64	-6.64
MtrunA17_Chr0c32g0494201	-0.51	-6.64	-6.64
MtrunA17_Chr1g0146101	-6.64	-6.64	-6.64
MtrunA17_Chr1g0146111	-3.32	-6.64	-6.64
MtrunA17_Chr1g0146121	-6.64	-6.64	-6.64
MtrunA17_Chr1g0146131	4.72	-6.64	-6.64
MtrunA17_Chr1g0146141	-2.32	-6.64	-6.64
MtrunA17_Chr1g0146142	-3.32	-6.64	-6.64
MtrunA17_Chr1g0146151	11.30	8.77	4.31
MtrunA17_Chr1g0146161	4.78	10.84	4.91
MtrunA17_Chr1g0146171	1.07	4.74	-6.64
MtrunA17_Chr1g0146181	0.77	7.81	11.80
MtrunA17_Chr1g0146191	0.26	6.04	4.03
MtrunA17_Chr1g0146201	7.03	8.57	9.13
MtrunA17_Chr1g0146211	-1.00	11.37	8.75
MtrunA17_Chr1g0146221	-1.74	7.93	5.47
MtrunA17_Chr1g0146231	-1.32	-6.64	-6.64
MtrunA17_Chr1g0146241	-3.32	5.09	3.10
MtrunA17_Chr1g0146251	-1.00	2.00	4.99
MtrunA17_Chr1g0146261	-6.64	1.58	0.00
MtrunA17_Chr1g0146271	-2.32	-6.64	0.38
MtrunA17_Chr1g0146281	6.48	8.23	8.30
MtrunA17_Chr1g0146291	5.68	8.40	8.10
MtrunA17_Chr1g0146301	6.63	10.76	11.85
MtrunA17_Chr1g0146311	6.29	8.11	7.82
MtrunA17_Chr1g0146321	5.77	7.20	6.83
MtrunA17_Chr1g0146331	5.08	10.09	11.98
MtrunA17_Chr1g0146341	-6.64	4.19	2.72
MtrunA17_Chr1g0146351	-3.32	-6.64	-0.51
MtrunA17_Chr1g0146361	-3.32	-6.64	-6.64
MtrunA17_Chr1g0146371	1.63	3.05	5.97
MtrunA17_Chr1g0146381	-0.51	1.43	5.40
MtrunA17_Chr1g0146391	-1.74	-6.64	0.00
