taxa	NGP_WH_1h_l2FC	NGP_InH_1h_l2FC	NGP_flg22H_1h_l2FC	NGP_WH_6h_l2FC	NGP_InH_6h_l2FC	NGP_flg22H_6h_l2FC
Vigun01g030550	3.33	4.01	1.59	0.12	-0.69	-0.26
Vigun04g183300	-0.93	0.13	1.59	-2.51	-0.13	0.14
Vigun11g096900	-1.34	-2.24	1.59	-2.24	-4.25	-1.35
Vigun06g213666	2.94	3.53	1.59	-3.04	-2.41	1.01
Vigun10g006900	0.61	2.49	1.59	-0.04	-1.44	0.19
Vigun11g218200	0.69	1.82	1.58	0.41	0.79	0.61
Vigun07g172800	2.76	4.10	1.58	5.22	5.11	-0.14
Vigun03g230500	0.65	0.48	1.58	3.33	3.01	0.59
Vigun10g142200	2.57	3.51	1.57	-0.60	-0.69	-0.26
Vigun05g285500	0.00	0.65	1.57	4.09	4.93	0.35
Vigun06g117000	-2.29	-2.07	1.57	3.35	3.08	-0.89
Vigun11g024300	0.38	2.09	1.57	1.71	2.74	0.63
Vigun04g156400	-2.57	-2.03	1.57	-3.08	-3.15	-0.26
Vigun01g108550	-3.80	-2.21	1.57	-1.70	-1.02	0.89
Vigun01g167500	-1.75	0.79	1.57	0.12	0.74	2.04
Vigun06g183800	1.23	3.56	1.57	2.38	2.81	-0.23
Vigun03g227800	-1.42	1.28	1.57	-0.68	0.02	0.51
Vigun03g262700	-2.37	0.20	1.57	-1.21	-0.63	-1.60
Vigun05g153900	-0.99	0.59	1.56	-1.02	-3.44	-1.88
Vigun08g009200	-1.13	-0.59	1.56	-1.78	-3.24	-0.24
Vigun11g164100	3.59	6.65	1.56	0.71	3.18	2.46
VigunL059086	-0.02	0.98	1.56	1.54	0.63	-0.10
Vigun10g058528	-1.42	0.11	1.56	-0.05	-1.45	1.13
Vigun05g266900	-2.37	-0.96	1.56	4.10	3.97	-0.95
Vigun02g177000	0.65	1.21	1.56	4.25	4.01	0.23
VigunL041500	-4.75	-2.59	1.56	-3.68	-6.27	-2.04
Vigun11g027501	0.65	1.21	1.55	-0.08	-0.18	-0.85
Vigun07g233201	-0.59	-1.23	1.55	0.12	0.71	2.02
Vigun05g171100	0.16	0.52	1.55	-2.39	-2.50	-1.00
Vigun10g112866	-2.06	-2.23	1.55	-1.07	0.33	-1.46
Vigun11g026600	3.21	6.45	1.55	1.78	3.89	1.11
Vigun01g012500	-0.79	0.74	1.54	1.95	0.97	0.12
Vigun03g212300	0.65	0.48	1.54	-0.16	1.31	-0.25
Vigun01g026550	-1.38	-0.83	1.54	-1.31	-2.71	0.47
Vigun10g072400	-1.61	0.08	1.54	-1.90	-1.41	1.74
Vigun01g046200	0.58	1.14	1.53	1.88	2.33	0.99
Vigun05g277900	0.65	3.53	1.53	1.45	3.27	2.84
Vigun01g119900	-0.07	-0.24	1.53	-2.52	-0.93	0.48
Vigun10g069366	-1.75	-0.61	1.53	-0.60	0.05	0.50
Vigun10g137850	-1.68	-0.51	1.52	-2.06	-2.15	2.05
Vigun04g102800	2.65	3.19	1.52	1.90	0.49	-0.87
Vigun08g107400	0.65	1.19	1.52	1.44	0.02	-0.32
Vigun07g168500	-1.77	1.09	1.52	-0.44	-2.57	-1.31
Vigun09g026500	-0.44	0.51	1.52	4.07	3.73	-0.32
Vigun03g228100	-1.37	-1.54	1.52	2.77	2.40	-0.32
Vigun07g252400	0.65	1.75	1.52	-0.60	0.78	-0.26
Vigun01g144000	-0.78	-0.96	1.51	2.26	1.79	0.06
Vigun09g237600	-2.25	-1.40	1.51	-1.38	-2.12	-2.12
Vigun01g250400	-1.72	-1.23	1.51	-0.85	-0.35	-0.04
Vigun09g192400	-2.13	-1.32	1.51	-1.25	-0.67	0.76
Vigun06g141600	-1.81	-0.11	1.51	-1.78	-1.86	0.03
Vigun05g062000	1.95	1.11	1.50	-0.60	1.83	1.21
Vigun10g055100	-3.41	-3.58	1.50	-3.07	-2.44	-0.26
Vigun03g446600	-2.09	-1.65	1.50	-4.00	-3.15	0.48
Vigun07g110800	1.42	1.82	1.50	2.39	-0.69	0.64
Vigun03g081800	-0.77	1.94	1.50	1.44	2.59	2.00
Vigun11g109300	0.33	1.78	1.50	-1.08	-0.17	1.69
Vigun07g018900	-1.48	-0.49	1.50	0.56	0.73	-0.07
Vigun10g093900	0.65	3.19	1.50	-0.60	0.03	-0.26
Vigun09g254001	2.33	3.89	1.50	-0.04	-0.70	-0.83
Vigun05g059500	0.65	1.19	1.50	0.12	2.54	1.46
Vigun10g042400	-0.07	1.81	1.50	-0.65	1.07	2.18
Vigun03g362600	1.09	1.10	1.50	0.12	0.03	-0.98
Vigun01g145500	-1.06	0.58	1.50	0.48	-0.22	0.61
Vigun11g210100	-0.07	-0.24	1.50	0.68	0.17	-0.56
Vigun03g423200	0.65	1.21	1.50	3.62	3.12	0.13
Vigun11g039400	3.33	7.17	1.49	2.18	4.06	0.91
Vigun04g196150	-0.38	0.47	1.49	1.97	1.80	-0.51
Vigun03g166100	0.65	1.77	1.49	-2.33	-1.02	-0.26
Vigun04g032500	-2.56	-0.66	1.49	0.26	1.20	1.19
Vigun09g234350	-0.81	-0.27	1.49	0.81	1.32	1.55
Vigun03g389600	0.73	-0.24	1.49	-0.35	-1.97	-1.07
Vigun05g069400	0.42	2.25	1.49	-0.02	-0.13	0.28
Vigun06g213100	-0.60	-2.20	1.48	1.78	2.42	-0.04
Vigun03g207300	-0.69	0.15	1.48	0.44	-1.75	-3.09
Vigun08g077250	0.65	2.23	1.48	0.89	2.41	0.92
Vigun04g033500	1.99	3.64	1.48	-2.92	-3.00	2.15
Vigun01g103200	1.32	2.82	1.48	-0.60	-0.69	-0.26
Vigun08g077700	-0.77	-0.22	1.47	0.51	0.50	-1.98
Vigun05g100800	1.20	2.67	1.47	-1.33	-1.41	0.46
Vigun03g118001	1.95	1.76	1.47	2.69	4.03	1.11
Vigun02g197200	-2.15	0.70	1.47	4.08	4.95	0.02
Vigun02g010933	0.65	0.48	1.47	-1.37	-0.75	1.11
Vigun08g135000	0.65	2.79	1.47	0.12	-0.69	-0.26
Vigun08g039500	-0.11	-0.23	1.47	0.79	1.42	0.13
Vigun02g024500	1.35	4.02	1.47	2.18	5.86	2.04
Vigun09g060800	1.32	3.65	1.46	4.48	4.45	0.34
Vigun10g048750	-0.21	0.90	1.46	0.78	-0.69	0.40
Vigun03g444800	3.43	4.19	1.46	0.12	0.03	-0.26
Vigun04g038400	-1.58	-0.75	1.46	0.47	1.13	0.04
Vigun10g102500	-1.12	0.12	1.46	-0.40	-1.75	-1.08
Vigun07g209400	0.01	0.65	1.46	0.46	-0.03	0.04
Vigun01g200200	-0.68	1.51	1.46	1.83	1.93	0.39
Vigun09g244250	-3.29	-2.14	1.46	-3.12	-3.21	1.71
Vigun10g061000	-0.69	-0.23	1.45	-0.60	0.55	0.48
Vigun03g270950	2.73	3.53	1.45	1.83	1.81	0.31
VigunL059320	1.06	2.35	1.45	-0.73	0.54	-0.61
VigunL030550	-0.05	-1.52	1.45	-0.44	-0.53	-1.28
Vigun11g109750	0.65	0.48	1.45	-0.60	0.03	-0.98
Vigun04g079500	2.33	3.29	1.44	6.95	7.51	0.26
Vigun06g069800	-1.36	-0.74	1.44	1.22	2.36	0.20
Vigun03g117900	0.94	2.06	1.44	6.42	7.19	0.20
Vigun02g010150	-1.96	-0.81	1.44	1.47	0.29	-2.41
Vigun02g120300	3.49	4.02	1.44	8.50	8.61	0.08
Vigun02g047100	-1.33	0.12	1.44	0.51	0.23	-0.01
Vigun06g177600	1.26	3.74	1.43	0.17	-1.41	-1.76
Vigun02g009700	0.17	0.36	1.43	4.87	5.13	0.75
Vigun01g221300	-0.07	2.20	1.42	0.12	-0.69	1.12
Vigun10g011300	-0.71	0.97	1.42	-2.19	-3.04	-1.03
Vigun02g191800	0.47	0.68	1.42	5.29	5.42	0.75
Vigun08g154500	-0.07	0.05	1.42	-1.52	-1.63	1.07
Vigun03g261600	-0.86	1.22	1.42	-1.15	-1.71	-1.20
VigunL073040	-1.66	0.60	1.41	0.67	1.60	0.45
Vigun03g220400	0.65	2.49	1.41	-1.33	-1.41	1.23
Vigun09g030500	1.93	2.17	1.41	-1.33	-1.41	-0.26
Vigun05g163500	-1.88	-1.46	1.41	1.69	1.71	-0.09
Vigun03g269550	-1.06	0.74	1.41	-0.87	-2.33	-0.38
Vigun07g044733	1.81	1.84	1.41	-0.60	-0.69	1.15
Vigun09g000700	-0.07	1.77	1.41	0.82	0.79	-0.31
Vigun06g212850	0.65	0.48	1.40	-2.14	-0.35	-0.26
Vigun03g233300	0.17	0.71	1.40	1.58	1.41	-0.88
Vigun04g138200	3.09	4.23	1.40	6.24	6.40	0.37
Vigun11g147600	-0.94	-0.44	1.40	3.54	3.96	0.57
Vigun05g048000	2.62	5.89	1.40	2.36	5.02	1.19
Vigun04g029432	0.45	2.63	1.40	-1.68	-0.74	0.04
Vigun01g233000	1.14	1.42	1.40	-0.72	-0.49	0.49
Vigun05g109400	-0.07	0.51	1.40	-2.99	-3.08	-0.26
VigunL085550	-0.92	-0.49	1.40	0.35	1.18	0.61
Vigun03g247100	3.76	6.15	1.40	5.20	6.63	0.98
Vigun05g222400	0.83	2.58	1.39	-0.60	-0.69	-0.26
Vigun03g444700	2.97	4.27	1.39	-0.70	-0.16	1.43
Vigun05g076400	1.05	1.34	1.39	6.92	6.85	-0.22
Vigun10g025000	-1.68	-2.57	1.39	-1.26	-2.07	-0.26
Vigun04g175900	-1.88	-0.26	1.39	1.91	1.30	-0.76
Vigun07g019000	1.34	2.17	1.39	0.96	1.02	0.20
Vigun07g175100	1.12	1.09	1.39	5.73	6.11	0.68
Vigun01g078400	-1.35	-2.52	1.39	-1.57	-3.41	-0.53
Vigun11g026500	2.56	5.96	1.39	1.40	3.37	1.14
Vigun09g237200	1.04	2.48	1.38	3.47	4.59	0.26
Vigun09g124400	0.62	0.49	1.38	-0.61	1.43	1.03
Vigun09g144600	0.37	1.33	1.38	4.01	3.78	-0.35
Vigun01g010400	-1.40	-1.09	1.38	-0.45	1.13	-0.94
Vigun04g112066	-0.74	-0.57	1.38	-0.13	-0.55	-0.72
Vigun07g251700	-0.79	-0.96	1.38	0.24	-1.88	-0.70
Vigun09g197400	-1.19	0.46	1.38	-0.37	1.40	-0.36
Vigun02g004500	-2.70	-1.41	1.38	-2.47	-3.14	-0.58
Vigun02g150800	-0.58	0.22	1.38	-2.58	-1.49	1.07
Vigun02g139600	-0.79	-0.24	1.38	0.91	2.71	0.89
Vigun02g049900	-0.88	-1.05	1.38	0.12	-0.69	0.99
Vigun08g105100	3.85	4.79	1.38	6.92	8.37	0.28
Vigun01g074350	-0.79	-0.24	1.37	-4.18	-4.27	1.30
Vigun09g041300	-2.50	-2.49	1.37	-1.12	-1.89	-1.15
Vigun05g272500	-0.79	-0.24	1.37	0.12	0.03	2.06
Vigun05g159300	-0.47	-0.72	1.37	0.33	-2.79	-3.29
Vigun07g247500	2.22	3.98	1.37	-0.14	0.07	-0.23
Vigun02g055800	-0.27	-0.02	1.37	2.14	0.96	0.31
Vigun11g117701	-0.20	0.51	1.37	-1.05	-0.10	1.04
Vigun08g108300	1.97	1.79	1.36	6.72	7.22	0.96
Vigun09g090200	-0.80	0.43	1.36	-0.04	2.39	1.15
Vigun09g261400	-1.30	-2.22	1.36	1.17	1.25	0.94
Vigun04g176800	-0.79	-0.96	1.36	-1.33	1.80	-0.26
VigunL037732	-3.91	-3.41	1.36	-3.76	-2.71	0.36
Vigun10g151100	-0.71	0.97	1.36	-2.04	-2.12	2.05
Vigun11g042650	-3.22	-1.93	1.36	-2.93	-3.74	-0.98
Vigun02g064700	1.59	1.81	1.36	-1.79	-1.82	1.36
Vigun07g175000	1.26	1.27	1.35	6.30	6.23	0.27
Vigun04g030200	-0.79	1.07	1.35	0.12	2.29	-0.26
Vigun11g042500	-3.02	-2.76	1.35	-2.50	-3.19	-0.44
Vigun03g428700	3.00	4.32	1.35	-0.60	0.77	-0.26
Vigun04g146500	1.34	3.01	1.35	-1.61	-3.77	0.05
Vigun08g178766	2.51	3.79	1.35	4.17	5.83	0.66
Vigun09g246200	1.82	3.72	1.35	0.90	-0.69	0.17
Vigun03g312200	3.11	3.60	1.35	8.14	8.28	0.01
Vigun04g085100	-2.18	-0.79	1.34	-1.57	-1.10	-0.68
Vigun05g044800	-1.70	0.08	1.34	-3.14	-3.23	0.46
Vigun05g167400	-1.58	0.33	1.34	-0.30	-0.29	0.03
Vigun05g130200	-0.74	-0.08	1.34	-0.52	0.76	1.16
Vigun07g175850	-1.87	-1.49	1.34	1.57	1.65	0.28
Vigun03g141300	3.66	4.67	1.34	6.60	8.43	1.49
Vigun01g143300	0.00	-0.21	1.34	-0.66	-1.51	1.11
Vigun09g130300	0.07	0.33	1.34	6.85	6.93	0.42
Vigun02g082100	0.10	1.05	1.34	2.42	3.41	0.93
Vigun04g144766	-0.50	-0.36	1.33	-3.80	-3.89	-0.26
Vigun08g152800	-1.48	-1.65	1.33	2.71	1.35	-1.16
Vigun03g418200	0.96	1.18	1.33	4.15	6.17	0.60
Vigun04g125900	-2.04	-1.45	1.33	0.31	0.33	-0.01
Vigun09g137600	-2.12	-1.36	1.33	0.93	1.53	-0.06
Vigun01g150400	2.26	3.17	1.33	0.13	0.03	-1.00
Vigun11g022300	-1.76	-1.94	1.33	-1.91	-0.57	3.20
VigunL059004	0.33	1.59	1.33	1.46	2.12	0.39
Vigun05g251000	-0.07	1.22	1.33	-0.51	-1.45	-0.01
Vigun05g105400	-0.62	0.14	1.33	1.13	1.81	0.62
Vigun04g128000	3.32	5.14	1.33	4.30	8.05	0.87
Vigun06g105800	0.60	2.10	1.33	1.46	1.32	-0.93
VigunL001800	-3.00	-1.05	1.33	-1.50	-1.32	-0.13
Vigun10g141300	-0.07	-0.96	1.32	0.79	-0.69	0.80
Vigun01g116700	-0.18	0.53	1.32	2.22	2.71	0.14
Vigun06g182300	-0.07	0.48	1.32	1.33	2.89	2.48
Vigun01g006100	2.38	3.19	1.32	0.10	-0.69	1.53
Vigun02g085700	0.88	1.21	1.32	2.95	3.91	0.65
Vigun02g000056	-0.07	1.80	1.32	-0.60	-1.41	1.57
Vigun05g103900	1.09	1.67	1.32	4.59	4.74	0.00
Vigun09g157900	-1.07	-0.78	1.32	0.38	0.62	0.49
Vigun01g197300	2.28	2.23	1.31	0.12	-0.69	-0.98
Vigun09g157600	-0.79	-0.96	1.31	1.41	1.88	0.05
VigunL059334	-0.07	-0.24	1.31	-1.67	-1.76	1.16
Vigun07g003800	-0.92	0.68	1.31	2.31	2.11	-0.07
Vigun07g238900	-0.07	0.48	1.31	1.23	0.00	-2.82
VigunL059441	1.92	2.79	1.31	-0.48	-0.57	0.42
Vigun03g230000	1.14	1.79	1.31	-1.07	-1.86	-0.96
Vigun05g046900	-1.50	0.32	1.31	-1.27	-2.08	-0.26
Vigun05g043500	-1.50	-0.95	1.31	1.88	1.62	-1.06
Vigun11g059900	1.12	1.90	1.31	4.76	5.19	1.02
Vigun11g042100	-3.67	-2.41	1.31	-3.48	-3.57	-0.26
Vigun03g307400	-0.07	-0.24	1.31	1.51	2.59	1.52
Vigun07g288200	0.65	0.74	1.31	0.86	2.55	0.30
VigunL045550	-2.57	-2.02	1.31	-2.77	-2.86	0.46
Vigun06g130700	-0.07	0.48	1.30	-0.71	0.58	-0.25
Vigun02g136800	-0.07	2.55	1.30	0.08	0.03	-0.19
Vigun10g024900	-0.01	0.33	1.30	-2.86	-3.67	-0.98
Vigun05g288700	-1.76	0.14	1.30	-1.41	-2.35	-2.08
Vigun05g265400	-0.07	1.79	1.30	-2.39	-6.55	-2.91
Vigun01g077500	-1.07	-0.27	1.30	0.48	1.14	0.52
VigunL059714	0.39	2.05	1.30	-1.80	-0.58	2.60
Vigun01g035700	0.17	0.69	1.30	-0.40	-0.33	0.72
Vigun03g021000	-3.35	-2.80	1.30	-1.08	-0.79	-1.88
Vigun08g111200	1.17	2.16	1.30	3.58	4.39	0.52
Vigun08g099100	-0.79	0.49	1.30	2.47	2.59	-0.48
Vigun02g070600	-0.79	1.52	1.30	-0.04	-0.73	0.72
Vigun03g042850	2.07	1.25	1.30	-0.60	-0.69	-0.26
Vigun02g077600	-0.46	0.65	1.30	0.82	1.61	-0.20
Vigun05g212500	1.95	2.52	1.30	0.12	-0.69	-0.26
Vigun03g195600	-1.52	-0.24	1.30	-0.59	-1.68	-0.25
Vigun06g043700	-0.07	0.48	1.29	1.41	3.51	3.44
Vigun08g005600	-0.51	0.46	1.29	-0.81	0.62	1.30
Vigun08g041150	-0.51	1.48	1.29	-1.86	-0.20	1.47
Vigun01g191100	-0.79	-0.56	1.29	-2.22	-2.34	0.28
Vigun10g033633	0.65	-0.24	1.29	3.75	4.94	1.76
Vigun05g061900	1.55	1.26	1.29	5.32	5.76	-0.10
Vigun02g134000	-0.04	2.43	1.29	2.34	2.03	-0.60
Vigun10g122800	-0.84	-0.50	1.29	-1.01	0.24	0.76
Vigun01g123300	-0.79	1.48	1.28	0.12	0.75	-0.98
Vigun03g201801	-3.52	-3.69	1.28	-4.08	-3.45	0.46
VigunL007900	-0.07	-0.24	1.28	-0.54	0.45	0.39
Vigun03g272000	-0.79	-0.96	1.28	1.02	0.97	-1.14
Vigun04g019840	-0.07	-0.24	1.28	2.18	0.73	-1.64
Vigun05g146500	-0.07	-0.24	1.28	2.47	1.37	-0.72
VigunL015562	-1.50	-0.27	1.28	-2.60	-3.41	0.48
Vigun07g143300	-0.79	1.80	1.28	5.27	4.76	0.37
Vigun07g289400	-0.79	0.46	1.28	0.12	2.31	1.74
Vigun10g130300	-0.87	0.90	1.28	0.46	0.12	-1.12
Vigun03g389400	-0.07	0.48	1.28	4.09	5.28	1.06
Vigun03g255900	-3.36	-3.53	1.28	1.31	-0.54	-0.82
Vigun07g043900	2.84	2.89	1.28	7.76	7.88	0.04
Vigun08g165700	3.15	4.59	1.28	0.47	0.12	-0.24
Vigun01g184400	-0.07	0.48	1.28	3.81	4.24	0.59
Vigun10g178100	-0.07	1.79	1.28	-0.60	0.03	0.46
Vigun09g100501	-1.48	-0.55	1.28	2.06	1.98	0.24
Vigun03g343100	-1.51	-0.23	1.28	1.19	1.33	-1.54
VigunL059098	3.12	3.67	1.28	0.13	-1.41	1.06
Vigun04g175700	2.15	3.68	1.27	-2.85	-4.41	-0.28
Vigun11g114000	5.21	6.78	1.27	2.11	-0.69	-2.98
Vigun05g025600	-1.32	0.45	1.27	0.39	0.99	0.37
Vigun08g086900	-1.40	-1.88	1.27	3.17	4.02	0.01
Vigun01g011400	2.79	5.48	1.27	5.10	5.75	1.18
Vigun03g092100	2.02	2.79	1.27	-0.60	0.74	1.21
Vigun03g283800	0.52	2.26	1.27	-0.60	-0.69	0.46
Vigun02g048225	0.01	0.35	1.27	-1.81	-1.16	0.44
Vigun11g111300	4.75	4.79	1.27	8.41	9.84	0.04
Vigun06g116400	-3.82	-3.27	1.26	1.08	3.31	1.40
Vigun02g026500	0.63	0.62	1.26	7.27	7.11	0.38
Vigun09g240800	4.06	4.29	1.26	5.13	7.15	0.59
Vigun05g164700	1.19	2.85	1.26	3.49	3.96	1.01
Vigun03g360200	-2.08	0.51	1.26	3.34	3.60	-0.15
Vigun01g230000	-0.07	1.79	1.26	0.68	2.59	1.37
Vigun05g200000	-1.53	0.77	1.26	3.27	4.45	0.94
Vigun01g135500	2.29	2.47	1.25	-1.85	-0.09	1.58
Vigun03g147001	0.18	1.68	1.25	5.14	4.53	-0.78
Vigun01g092850	0.65	4.31	1.25	-0.60	-0.69	-0.26
Vigun05g285200	-2.51	-4.09	1.25	-0.98	-1.14	0.19
Vigun08g139700	-0.71	0.51	1.25	-0.37	0.17	0.03
Vigun11g122800	-4.92	-4.37	1.25	-3.93	-4.01	1.19
Vigun04g005500	-1.00	0.30	1.25	0.53	-0.29	-0.02
Vigun03g047200	-3.30	-2.87	1.25	-0.81	-0.87	-0.23
VigunL064501	-2.53	-1.27	1.25	-0.60	0.60	0.44
Vigun03g180500	2.45	4.15	1.25	6.15	5.86	-0.64
Vigun11g125800	-0.82	1.28	1.25	0.12	1.52	-0.98
Vigun03g306100	-0.07	1.51	1.25	-2.19	-2.28	-0.26
Vigun10g112300	-0.38	-0.23	1.25	-0.32	1.16	1.29
Vigun10g060833	1.51	2.05	1.25	0.81	0.03	-0.25
Vigun06g005300	-0.07	1.82	1.25	0.77	1.47	0.91
Vigun02g184000	-0.79	0.74	1.25	-0.10	0.80	0.05
Vigun02g073500	-1.58	-1.40	1.25	0.43	1.55	0.39
Vigun07g243200	1.61	2.48	1.25	4.80	5.47	0.57
Vigun01g196900	-0.07	1.19	1.25	-0.49	-1.35	-0.29
Vigun05g009700	1.66	2.58	1.25	5.43	6.29	0.60
Vigun01g214700	-0.35	-0.09	1.25	3.50	4.73	0.65
Vigun10g106800	-2.47	-1.92	1.25	2.20	-0.69	-2.35
VigunL059141	-1.55	-1.73	1.24	-0.60	-0.69	1.42
Vigun02g013100	2.70	4.96	1.24	7.56	8.01	-0.20
Vigun02g077800	1.00	2.34	1.24	2.62	2.77	0.39
Vigun08g121100	-1.48	-1.66	1.24	-0.21	-1.95	0.02
VigunL076301	-0.07	0.48	1.24	0.19	0.57	0.58
Vigun08g085800	-0.07	2.47	1.24	0.19	-1.41	0.86
Vigun09g058500	-0.07	1.77	1.24	0.12	1.23	1.03
Vigun08g086301	-1.27	-0.48	1.24	1.11	2.39	0.66
Vigun10g107900	-0.09	2.43	1.24	2.29	2.36	-0.10
VigunL074800	-0.07	2.43	1.24	-1.33	-1.41	1.70
Vigun05g114100	-2.50	-0.63	1.24	-0.60	0.58	0.40
Vigun04g176600	1.08	2.33	1.24	-0.79	-1.06	0.25
Vigun04g099300	-3.20	-3.49	1.24	2.78	1.46	2.41
Vigun10g091300	-2.08	-0.30	1.23	-0.55	-0.26	-0.57
Vigun01g249000	1.32	2.34	1.23	2.96	1.99	-2.10
Vigun10g028100	1.76	2.37	1.23	2.06	2.50	0.83
Vigun06g081800	-3.08	-3.22	1.23	1.26	2.77	0.41
VigunL059070	-0.07	2.20	1.23	1.28	1.32	-2.15
VigunL072733	-0.07	1.80	1.23	-1.70	-0.36	-0.98
Vigun05g268700	1.97	2.94	1.23	0.53	0.24	-0.11
Vigun06g106800	1.98	1.79	1.23	-0.58	0.08	1.29
Vigun01g096800	-1.44	0.26	1.23	0.30	0.31	-0.23
Vigun10g099950	-1.33	-0.79	1.23	0.17	0.05	1.03
Vigun07g110700	-2.03	-1.48	1.23	1.16	0.69	-1.30
Vigun05g199300	-0.69	-0.72	1.23	-2.54	-3.35	-0.26
Vigun03g265000	3.40	6.23	1.23	3.99	4.65	0.54
Vigun01g181500	-0.81	-0.28	1.23	-3.60	-1.40	0.44
Vigun05g283700	2.64	3.38	1.23	5.91	5.96	0.65
Vigun07g155000	0.58	1.53	1.23	6.79	6.59	0.31
Vigun10g099650	-0.07	-0.96	1.23	-0.10	-1.46	0.79
Vigun01g244800	0.63	1.25	1.22	1.26	1.04	0.04
Vigun08g137100	0.07	-0.19	1.22	-0.34	-0.23	-1.24
VigunL043100	-0.80	-0.23	1.22	-0.26	-1.61	-2.25
Vigun03g052850	0.65	2.99	1.22	0.12	0.71	1.50
Vigun11g211580	-0.70	-0.22	1.22	1.25	1.34	-1.12
Vigun06g029500	-0.07	0.48	1.22	1.83	1.40	-1.41
Vigun08g174500	-1.46	-2.60	1.22	1.06	1.75	1.37
Vigun10g035300	3.33	4.16	1.21	-1.21	-1.90	1.82
Vigun08g191700	-1.78	-1.25	1.21	0.12	0.86	0.53
Vigun08g028300	-0.79	-0.96	1.21	3.58	3.49	0.26
Vigun03g262900	-0.79	-0.23	1.21	2.09	2.07	1.75
Vigun03g129300	3.91	5.31	1.20	6.00	7.47	0.58
VigunL020700	-0.15	1.10	1.20	-0.06	1.29	1.47
Vigun11g147533	-0.80	0.26	1.20	-0.13	0.57	0.95
Vigun02g188650	-0.79	1.12	1.20	0.94	2.45	1.45
Vigun05g294101	-0.78	-0.96	1.20	-1.43	-1.51	-0.98
Vigun04g074100	-0.14	1.21	1.20	0.17	0.01	0.14
Vigun08g218400	0.65	2.53	1.20	-1.33	0.05	0.46
Vigun07g180200	1.29	2.29	1.20	0.81	-0.69	0.79
Vigun08g132200	-1.09	-1.20	1.20	-1.26	-1.65	-0.28
Vigun02g126000	0.65	2.52	1.20	1.31	1.64	-0.82
Vigun07g097350	-0.83	-0.56	1.20	-1.58	0.03	1.45
Vigun09g171000	2.27	4.02	1.20	3.00	3.63	0.33
Vigun06g208400	2.74	4.24	1.20	6.91	7.60	0.53
Vigun07g219900	2.23	2.41	1.20	6.77	7.03	0.72
Vigun09g210500	-1.59	-0.54	1.19	-2.37	-1.84	2.08
Vigun10g095500	-1.45	0.45	1.19	-0.62	0.29	0.25
Vigun03g254000	-1.54	-1.71	1.19	0.79	1.77	-0.40
Vigun10g147700	0.65	3.98	1.19	3.47	5.03	1.51
Vigun10g162500	2.88	3.23	1.19	0.77	0.03	-0.91
Vigun06g023800	0.61	0.47	1.19	-1.38	-2.19	-0.26
Vigun08g074850	2.32	2.98	1.19	-2.01	-0.07	0.46
Vigun01g127500	-0.07	1.07	1.19	4.20	5.52	0.38
VigunL017800	1.34	3.50	1.19	0.40	0.42	0.15
Vigun09g024400	2.08	3.01	1.19	-1.33	-0.69	0.46
Vigun08g028200	-0.79	0.62	1.19	1.02	1.51	0.18
Vigun05g255700	0.65	3.02	1.19	1.83	1.66	0.33
Vigun10g005600	0.34	0.99	1.19	2.45	2.87	0.21
Vigun04g159300	1.51	2.18	1.19	-0.60	-0.69	-0.26
Vigun03g203100	1.00	1.96	1.18	4.09	4.10	0.06
Vigun05g243200	0.69	1.03	1.18	6.07	6.08	-0.14
Vigun07g209300	-0.10	0.09	1.18	-0.17	-1.73	0.87
Vigun02g202000	4.48	5.44	1.18	2.96	3.58	0.07
Vigun02g024301	-1.50	-1.67	1.18	-0.60	1.33	1.04
Vigun08g054300	-0.07	1.18	1.18	2.28	1.86	-0.78
Vigun08g032500	-0.07	-0.24	1.18	1.86	0.78	-0.27
Vigun04g164500	1.93	2.75	1.18	3.76	4.53	0.65
Vigun09g021900	0.65	0.48	1.18	3.30	3.76	0.52
Vigun06g049900	-1.38	-2.07	1.18	0.11	0.68	0.22
Vigun10g089500	-0.07	-0.96	1.18	-2.56	-1.90	0.51
Vigun03g001100	-1.54	-0.41	1.18	-4.45	-5.26	1.06
Vigun09g219600	-0.79	1.71	1.18	-1.37	-1.46	1.00
Vigun10g019350	-1.22	-0.93	1.18	-1.21	0.03	1.46
Vigun03g206700	-0.07	-0.24	1.18	0.92	1.34	0.05
Vigun07g218500	-0.95	-0.36	1.17	1.88	3.33	0.39
Vigun07g180300	0.00	3.70	1.17	0.00	-0.69	0.46
Vigun07g045000	1.35	2.20	1.17	3.10	2.87	0.43
Vigun03g118800	-1.27	-2.15	1.17	0.79	0.03	-0.03
Vigun11g050200	-0.53	-0.07	1.17	1.88	2.21	0.78
Vigun03g140100	1.99	4.06	1.17	0.12	2.50	1.09
Vigun08g098000	-3.25	-1.66	1.17	2.13	2.79	-0.98
Vigun08g202150	-0.54	0.20	1.17	0.58	0.73	0.50
Vigun03g231100	-1.60	-1.36	1.17	4.15	4.29	-0.17
Vigun08g089500	0.65	0.48	1.16	0.51	0.01	-1.94
Vigun07g054350	-1.00	-1.16	1.16	-0.72	-0.30	0.83
Vigun09g006500	-1.72	-1.61	1.16	-0.65	-3.63	-1.45
Vigun01g120300	-0.88	-0.45	1.16	-0.92	0.72	1.44
Vigun05g125400	-0.62	0.06	1.16	1.14	1.59	0.02
Vigun08g118400	-0.69	0.09	1.16	1.73	0.84	-0.10
