taxa	flg22	elf18	nlp20	og	chitin
AT2G41230	2.34	1.98	1.77	1.61	1.44
AT5G64870	4.86	4.54	4.29	4.24	3.12
AT3G19310	0.73	0.16	-0.25	0.16	0.05
AT4G12070	2.24	1.94	1.67	1.15	0.84
AT2G02180	2.36	1.64	1.79	1.00	0.34
AT2G20340	1.11	1.03	0.54	0.23	0.07
AT1G01730	1.31	1.02	0.73	0.60	0.33
AT3G01170	1.60	1.18	1.03	0.75	0.20
AT1G02980	1.75	0.15	1.18	-0.14	0.69
AT2G03590	1.35	1.25	0.22	0.78	0.20
AT1G70130	3.21	2.63	2.64	1.33	0.72
AT1G65730	3.04	3.46	0.58	2.46	1.32
AT3G56600	1.34	0.32	0.77	0.58	0.03
AT3G50470	2.86	2.83	2.10	2.29	2.23
AT3G02150	1.51	0.83	0.94	0.82	0.11
AT2G18670	2.15	1.56	1.57	1.52	0.73
AT5G53330	1.40	0.83	0.83	0.58	0.50
AT4G20000	4.82	4.10	3.14	3.65	4.24
AT2G31830	0.68	0.06	-0.09	0.11	0.09
AT3G03110	1.14	0.84	0.53	0.56	0.44
AT4G23180	4.73	4.83	3.64	4.16	3.92
AT1G66590	2.40	1.77	1.83	1.53	1.03
AT5G24352	0.88	0.27	0.30	0.14	0.17
AT2G14690	0.93	0.49	0.16	0.36	-0.04
AT2G25200	0.89	0.30	0.31	-0.38	-0.64
AT3G28500	0.90	0.28	0.26	0.25	0.32
AT3G16720	3.68	3.34	3.10	3.02	2.73
AT2G03880	0.97	-0.03	0.39	0.25	0.03
AT3G15351	1.02	0.39	0.44	0.42	0.06
AT5G42940	1.45	0.95	0.88	0.66	0.17
AT5G44050	1.57	1.69	0.82	0.99	0.58
AT5G62470	3.60	3.02	1.82	3.03	2.46
AT5G54100	0.96	0.77	0.29	0.18	0.38
AT5G43430	1.04	0.53	0.42	0.46	0.22
AT5G21170	0.72	0.11	0.15	-0.03	-0.30
AT5G19230	4.41	4.08	3.42	3.83	2.44
AT1G67195	1.31	1.01	0.12	0.73	0.19
AT1G17147	6.33	6.41	5.76	5.27	4.48
AT1G10170	1.20	0.23	0.62	0.16	0.05
AT1G70160	1.18	0.64	0.60	0.12	0.00
AT4G17660	3.55	3.66	2.95	2.97	2.46
AT5G26220	4.02	3.65	3.44	2.81	2.71
AT5G48970	1.99	1.29	1.41	0.86	0.43
AT3G26000	1.45	0.88	0.87	0.65	0.42
AT1G61380	2.75	2.92	1.98	2.17	1.85
AT5G55170	1.15	1.27	0.57	0.44	0.28
AT2G29700	0.98	0.48	0.41	0.26	0.27
AT4G23280	6.93	6.30	6.35	4.01	4.16
AT2G42400	1.03	0.55	0.45	0.10	0.07
AT2G41490	1.77	1.75	1.19	0.91	0.46
AT1G70185	1.54	1.03	0.96	0.63	0.45
AT1G61890	2.09	1.72	1.37	1.51	0.97
AT4G20390	1.01	0.47	0.22	0.43	-0.03
AT1G64010	1.86	0.24	0.74	0.76	1.28
AT5G56350	1.31	0.73	0.73	0.29	0.41
AT3G57645	1.85	2.10	0.89	1.27	0.34
AT3G14180	1.30	1.02	0.71	0.45	0.22
AT3G18280	1.22	1.38	0.33	0.64	0.22
AT5G58650	2.09	1.79	1.08	1.51	0.62
AT1G55390	1.68	1.76	1.10	0.72	0.73
AT5G23155	1.35	0.61	0.76	0.64	0.27
AT1G74780	0.96	0.82	0.07	0.38	0.01
AT1G62305	3.20	2.62	2.62	1.87	0.98
AT1G48060	2.09	1.22	1.50	0.85	0.10
AT1G25275	1.91	1.32	1.32	1.28	0.45
AT4G13996	0.77	-0.10	0.18	0.16	-0.11
AT1G14020	0.96	0.61	0.37	0.21	0.15
AT3G54000	1.71	1.40	0.95	1.13	0.73
AT5G49760	1.52	0.80	0.94	0.43	0.42
AT1G04110	0.76	-0.31	-0.13	0.18	-0.10
AT5G04040	0.86	0.10	0.28	0.14	-0.10
AT2G33051	0.69	0.11	0.10	-0.22	0.03
AT3G48180	1.57	0.67	0.37	0.98	0.40
AT5G45370	1.04	0.69	0.45	0.35	0.34
AT1G21651	1.13	0.69	0.33	0.54	0.23
AT2G13790	3.76	3.49	3.15	3.17	2.46
AT4G26120	3.82	2.68	3.23	1.94	2.44
AT5G03380	2.23	2.19	1.59	1.65	1.45
AT2G35610	1.14	0.85	0.55	0.23	0.34
AT4G16355	2.29	2.21	0.34	1.16	1.70
AT1G72360	1.07	0.65	0.06	0.48	-0.15
AT5G34780	1.48	1.26	0.90	0.79	-0.08
AT4G36820	1.26	0.58	0.68	0.49	0.32
AT5G64900	2.98	2.31	1.95	2.39	1.24
AT5G01750	1.60	1.25	0.81	1.02	0.14
AT5G44380	2.42	1.75	1.83	0.95	0.25
AT3G04060	1.64	0.88	0.76	1.05	0.26
AT5G54590	2.04	1.10	1.45	0.59	0.34
AT5G43260	1.41	0.53	0.83	0.81	0.28
AT1G15050	0.89	0.29	-0.13	0.30	0.16
AT4G08850	3.19	3.29	2.39	2.61	2.25
AT3G47820	2.99	3.11	2.40	2.21	1.94
AT5G48620	1.34	1.01	0.75	0.68	0.46
AT5G01570	0.98	0.81	0.19	0.31	0.39
AT5G05100	1.64	1.12	1.05	0.69	0.14
AT3G44400	3.03	2.67	2.41	2.44	2.18
AT2G20370	1.13	0.79	0.43	0.54	0.30
AT4G22070	1.61	0.88	1.00	1.02	0.72
AT5G64110	1.11	1.02	0.01	0.52	0.24
AT2G38360	1.30	0.52	0.51	0.71	0.57
AT1G51830	1.59	1.75	0.86	1.00	0.80
AT3G63400	1.38	0.72	0.79	0.49	0.31
AT5G59260	1.34	0.09	-0.02	0.75	0.38
AT1G32410	0.68	0.13	0.09	0.08	0.06
AT4G11230	1.25	0.65	0.55	0.66	0.29
AT5G62070	2.79	2.47	2.20	1.81	1.29
AT2G23310	0.87	0.27	0.28	-0.01	0.16
AT3G57740	3.52	3.66	1.95	2.93	2.32
AT1G20575	1.24	0.64	0.65	0.29	0.05
AT4G30940	0.70	0.34	0.06	-0.06	0.11
AT2G14160	0.89	0.63	0.03	0.30	-0.14
AT5G39471	1.03	0.20	0.44	0.34	0.24
AT5G04238	0.91	0.43	0.32	0.16	0.09
AT3G19580	3.80	3.54	2.75	3.20	1.83
AT5G04980	1.92	1.63	1.33	0.94	0.48
AT4G14746	2.67	2.45	1.08	2.07	1.27
AT4G38550	3.44	2.96	2.45	2.85	2.32
AT2G36850	0.85	0.46	0.26	0.15	0.14
AT4G17940	1.29	0.73	0.69	0.33	-0.03
AT2G29330	1.11	0.27	0.47	0.52	0.19
